iShares Core S&P Mid-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Mar 29, 2018",,,,,,,,,,
Total Net Assets,"44,298,341,708.25",,,,,,,,,,
Shares Outstanding,"236,250,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
JBLU,JETBLUE AIRWAYS CORP,Equity,0.38,20.32,"8,285,998.00","168,371,479.36","168,371,479.36",Industrials,2852760,US4771431016,NASDAQ
CSL,CARLISLE COMPANIES INC,Equity,0.37,104.41,"1,596,237.00","166,663,105.17","166,663,105.17",Industrials,2176318,US1423391002,New York Stock Exchange Inc.
FAF,FIRST AMERICAN FINANCIAL CORP,Equity,0.37,58.68,"2,818,717.00","165,402,313.56","165,402,313.56",Financials,B4NFPK4,US31847R1023,New York Stock Exchange Inc.
RPM,RPM INTERNATIONAL INC,Equity,0.37,47.67,"3,453,106.00","164,609,563.02","164,609,563.02",Materials,2756174,US7496851038,New York Stock Exchange Inc.
NYCB,NEW YORK COMMUNITY BANCORP INC,Equity,0.37,13.03,"12,620,181.00","164,440,958.43","164,440,958.43",Financials,2711656,US6494451031,New York Stock Exchange Inc.
GNTX,GENTEX CORP,Equity,0.37,23.02,"7,089,220.00","163,193,844.40","163,193,844.40",Consumer Discretionary,2366799,US3719011096,NASDAQ
MKSI,MKS INSTRUMENTS INC,Equity,0.36,115.65,"1,402,728.00","162,225,493.20","162,225,493.20",Information Technology,2404871,US55306N1046,NASDAQ
WEX,WEX INC,Equity,0.36,156.62,"1,030,264.00","161,359,947.68","161,359,947.68",Information Technology,B8383P2,US96208T1043,New York Stock Exchange Inc.
RS,RELIANCE STEEL & ALUMINUM,Equity,0.36,85.74,"1,881,477.00","161,317,837.98","161,317,837.98",Materials,2729068,US7595091023,New York Stock Exchange Inc.
PACW,PACWEST BANCORP,Equity,0.36,49.53,"3,249,283.00","160,936,986.99","160,936,986.99",Financials,2619772,US6952631033,NASDAQ
TOL,TOLL BROTHERS INC,Equity,0.36,43.25,"3,693,412.00","159,740,069.00","159,740,069.00",Consumer Discretionary,2896092,US8894781033,New York Stock Exchange Inc.
X,US STEEL CORP CORP,Equity,0.36,35.19,"4,539,167.00","159,733,286.73","159,733,286.73",Materials,2824770,US9129091081,New York Stock Exchange Inc.
FHN,FIRST HORIZON NATIONAL CORP,Equity,0.36,18.83,"8,438,141.00","158,890,195.03","158,890,195.03",Financials,2341484,US3205171057,New York Stock Exchange Inc.
CFR,CULLEN FROST BANKERS INC,Equity,0.35,106.07,"1,494,404.00","158,511,432.28","158,511,432.28",Financials,2239556,US2298991090,New York Stock Exchange Inc.
EGN,ENERGEN CORP,Equity,0.35,62.86,"2,510,962.00","157,839,071.32","157,839,071.32",Energy,2012672,US29265N1081,New York Stock Exchange Inc.
LOGM,LOGMEIN INC,Equity,0.35,115.55,"1,354,471.00","156,509,124.05","156,509,124.05",Information Technology,B600J15,US54142L1098,NASDAQ
WTR,AQUA AMERICA INC,Equity,0.35,34.06,"4,591,983.00","156,402,940.98","156,402,940.98",Utilities,2685234,US03836W1036,New York Stock Exchange Inc.
NNN,NATIONAL RETAIL PROPERTIES REIT IN,Equity,0.35,39.26,"3,965,836.00","155,698,721.36","155,698,721.36",Real Estate,2211811,US6374171063,New York Stock Exchange Inc.
CY,CYPRESS SEMICONDUCTOR CORP,Equity,0.35,16.96,"9,170,912.00","155,538,667.52","155,538,667.52",Information Technology,2244549,US2328061096,NASDAQ
JHG,JANUS HENDERSON GROUP PLC,Equity,0.35,33.09,"4,659,697.00","154,189,373.73","154,189,373.73",Financials,BYPZJQ6,JE00BYPZJM29,New York Stock Exchange Inc.
CW,CURTISS WRIGHT CORP,Equity,0.34,135.07,"1,140,667.00","154,069,891.69","154,069,891.69",Industrials,2241205,US2315611010,New York Stock Exchange Inc.
SNV,SYNOVUS FINANCIAL CORP,Equity,0.34,49.94,"3,065,991.00","153,115,590.54","153,115,590.54",Financials,BMH4NJ8,US87161C5013,New York Stock Exchange Inc.
POOL,POOL CORP,Equity,0.34,146.22,"1,039,948.00","152,061,196.56","152,061,196.56",Consumer Discretionary,2781585,US73278L1052,NASDAQ
WPX,WPX ENERGY INC,Equity,0.34,14.78,"10,287,092.00","152,043,219.76","152,043,219.76",Energy,B40PCD9,US98212B1035,New York Stock Exchange Inc.
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,Equity,0.34,46.01,"3,302,869.00","151,965,002.69","151,965,002.69",Industrials,BF0LKD0,US4990491049,New York Stock Exchange Inc.
OZRK,BANK OF OZARKS,Equity,0.34,48.27,"3,137,024.00","151,424,148.48","151,424,148.48",Financials,2085856,US0639041062,NASDAQ
LPT,LIBERTY PROPERTY REIT TRUST,Equity,0.34,39.73,"3,809,491.00","151,351,077.43","151,351,077.43",Real Estate,2513681,US5311721048,New York Stock Exchange Inc.
DCI,DONALDSON INC,Equity,0.34,45.05,"3,355,915.00","151,183,970.75","151,183,970.75",Industrials,2276467,US2576511099,New York Stock Exchange Inc.
DEI,DOUGLAS EMMETT REIT INC,Equity,0.34,36.76,"4,103,409.00","150,841,314.84","150,841,314.84",Real Estate,B1G3M58,US25960P1093,New York Stock Exchange Inc.
BRO,BROWN & BROWN INC,Equity,0.34,25.44,"5,909,414.00","150,335,492.16","150,335,492.16",Financials,2692687,US1152361010,New York Stock Exchange Inc.
WSO,WATSCO INC,Equity,0.34,180.97,"826,874.00","149,639,387.78","149,639,387.78",Industrials,2943039,US9426222009,New York Stock Exchange Inc.
FSLR,FIRST SOLAR INC,Equity,0.33,70.98,"2,105,211.00","149,427,876.78","149,427,876.78",Information Technology,B1HMF22,US3364331070,NASDAQ
OSK,OSHKOSH CORP,Equity,0.33,77.27,"1,928,394.00","149,007,004.38","149,007,004.38",Industrials,2663520,US6882392011,New York Stock Exchange Inc.
HRC,HILL ROM HOLDINGS INC,Equity,0.33,87,"1,703,620.00","148,214,940.00","148,214,940.00",Health Care,2425924,US4314751029,New York Stock Exchange Inc.
LYV,LIVE NATION ENTERTAINMENT INC,Equity,0.33,42.14,"3,484,198.00","146,824,103.72","146,824,103.72",Consumer Discretionary,B0T7YX2,US5380341090,New York Stock Exchange Inc.
