As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Nov 24, 2017","2,745.79",185.67,--,"229,900,000.00"
"Nov 22, 2017","2,743.76",185.54,--,"229,900,000.00"
"Nov 21, 2017","2,745.16",185.63,--,"229,800,000.00"
"Nov 20, 2017","2,727.67",184.45,--,"229,500,000.00"
"Nov 17, 2017","2,717.93",183.79,--,"228,550,000.00"
"Nov 16, 2017","2,711.12",183.33,--,"228,550,000.00"
"Nov 15, 2017","2,683.47",181.45,--,"228,400,000.00"
"Nov 14, 2017","2,696.23",182.32,--,"228,350,000.00"
"Nov 13, 2017","2,698.93",182.5,--,"228,350,000.00"
"Nov 10, 2017","2,694.09",182.18,--,"228,350,000.00"
"Nov 09, 2017","2,694.40",182.2,--,"228,400,000.00"
"Nov 08, 2017","2,708.79",183.17,--,"228,400,000.00"
"Nov 07, 2017","2,700.69",182.62,--,"228,400,000.00"
"Nov 06, 2017","2,719.39",183.89,--,"228,250,000.00"
"Nov 03, 2017","2,708.27",183.14,--,"228,250,000.00"
"Nov 02, 2017","2,701.31",182.67,--,"228,250,000.00"
"Nov 01, 2017","2,699.38",182.54,--,"228,050,000.00"
"Oct 31, 2017","2,706.76",183.04,--,"227,850,000.00"
"Oct 30, 2017","2,692.41",182.07,--,"227,850,000.00"
"Oct 27, 2017","2,712.09",183.4,--,"227,450,000.00"
"Oct 26, 2017","2,697.53",182.42,--,"227,450,000.00"
"Oct 25, 2017","2,684.59",181.54,--,"227,350,000.00"
"Oct 24, 2017","2,700.29",182.6,--,"227,200,000.00"
"Oct 23, 2017","2,691.03",181.98,--,"227,200,000.00"
"Oct 20, 2017","2,704.81",182.91,--,"227,200,000.00"
"Oct 19, 2017","2,689.06",181.84,--,"227,200,000.00"
"Oct 18, 2017","2,686.12",181.64,--,"226,600,000.00"
"Oct 17, 2017","2,677.94",181.09,--,"226,600,000.00"
"Oct 16, 2017","2,682.52",181.4,--,"226,900,000.00"
"Oct 13, 2017","2,681.55",181.34,--,"226,900,000.00"
"Oct 12, 2017","2,682.69",181.42,--,"226,900,000.00"
"Oct 11, 2017","2,682.42",181.4,--,"226,650,000.00"
"Oct 10, 2017","2,680.71",181.28,--,"226,600,000.00"
"Oct 09, 2017","2,672.72",180.75,--,"226,500,000.00"
"Oct 06, 2017","2,680.48",181.27,--,"226,500,000.00"
"Oct 05, 2017","2,682.56",181.41,--,"226,300,000.00"
"Oct 04, 2017","2,673.93",180.83,--,"226,050,000.00"
"Oct 03, 2017","2,675.74",180.95,--,"225,250,000.00"
"Oct 02, 2017","2,669.16",180.51,--,"225,100,000.00"
"Sep 29, 2017","2,646.88",179,--,"225,000,000.00"
"Sep 28, 2017","2,643.01",178.74,--,"224,800,000.00"
"Sep 27, 2017","2,636.92",178.33,--,"224,650,000.00"
"Sep 26, 2017","2,612.63",176.68,0.63,"224,650,000.00"
"Sep 25, 2017","2,609.88",177.13,--,"224,650,000.00"
"Sep 22, 2017","2,605.17",176.81,--,"224,600,000.00"
"Sep 21, 2017","2,596.60",176.23,--,"224,400,000.00"
"Sep 20, 2017","2,602.65",176.64,--,"224,400,000.00"
"Sep 19, 2017","2,594.54",176.09,--,"224,400,000.00"
"Sep 18, 2017","2,595.50",176.15,--,"224,100,000.00"
"Sep 15, 2017","2,583.26",175.32,--,"225,400,000.00"
"Sep 14, 2017","2,572.51",174.59,--,"223,850,000.00"
"Sep 13, 2017","2,574.15",174.7,--,"226,250,000.00"
"Sep 12, 2017","2,578.00",174.96,--,"226,250,000.00"
"Sep 11, 2017","2,559.97",173.74,--,"226,150,000.00"
"Sep 08, 2017","2,530.61",171.75,--,"226,150,000.00"
"Sep 07, 2017","2,522.39",171.2,--,"226,050,000.00"
"Sep 06, 2017","2,530.78",171.77,--,"226,050,000.00"
"Sep 05, 2017","2,528.79",171.63,--,"226,050,000.00"
"Sep 01, 2017","2,557.42",173.56,--,"225,950,000.00"
"Aug 31, 2017","2,547.15",172.86,--,"225,950,000.00"
"Aug 30, 2017","2,526.14",171.43,--,"225,950,000.00"
"Aug 29, 2017","2,510.94",170.4,--,"225,950,000.00"
"Aug 28, 2017","2,512.55",170.51,--,"225,950,000.00"
"Aug 25, 2017","2,514.00",170.61,--,"225,800,000.00"
"Aug 24, 2017","2,502.81",169.85,--,"225,800,000.00"
"Aug 23, 2017","2,505.12",170,--,"225,400,000.00"
"Aug 22, 2017","2,510.67",170.38,--,"225,400,000.00"
"Aug 21, 2017","2,488.05",168.84,--,"226,350,000.00"
"Aug 18, 2017","2,488.80",168.89,--,"226,350,000.00"
